poverty,religion,degree,country,age,gender
Too Little,yes,no,USA,44,male
About Right,yes,no,USA,40,female
Too Little,yes,no,USA,36,female
Too Much,yes,yes,USA,25,female
Too Little,yes,yes,USA,39,male
About Right,yes,no,USA,80,female
Too Much,yes,no,USA,48,female
Too Little,yes,no,USA,32,male
Too Little,yes,no,USA,74,female
Too Little,yes,no,USA,30,male
Too Little,yes,yes,USA,32,female
About Right,yes,yes,USA,74,female
Too Little,yes,no,USA,48,male
Too Much,yes,no,USA,42,male
Too Little,no,no,USA,28,female
Too Much,yes,no,USA,36,female
Too Much,yes,no,USA,49,male
Too Little,yes,no,USA,38,female
About Right,yes,no,USA,79,female
About Right,yes,no,USA,59,male
Too Much,yes,yes,USA,50,female
Too Much,yes,no,USA,68,male
Too Little,yes,no,USA,35,female
Too Little,yes,no,USA,76,male
Too Little,yes,no,USA,62,female
Too Little,yes,no,USA,80,female
Too Little,yes,no,USA,18,male
Too Little,yes,no,USA,50,female
Too Much,yes,no,USA,38,male
About Right,yes,no,USA,48,female
Too Little,yes,no,USA,37,female
Too Much,yes,yes,USA,45,female
Too Little,yes,no,USA,47,male
Too Little,yes,no,USA,32,female
Too Much,yes,yes,USA,50,male
Too Little,yes,no,USA,42,male
Too Little,no,yes,USA,42,male
Too Much,yes,no,USA,65,male
About Right,yes,no,USA,67,female
Too Much,no,no,USA,65,male
Too Much,yes,no,USA,36,female
About Right,yes,yes,USA,82,male
Too Little,no,no,USA,47,male
Too Little,yes,no,USA,45,male
Too Much,yes,no,USA,37,female
About Right,yes,no,USA,78,male
Too Much,no,no,USA,21,male
Too Much,yes,yes,USA,34,male
Too Much,yes,yes,USA,66,female
Too Little,no,no,USA,43,female
Too Much,yes,no,USA,76,male
Too Little,yes,no,USA,76,female
About Right,yes,no,USA,59,male
Too Little,yes,no,USA,25,female
About Right,yes,no,USA,40,male
About Right,yes,no,USA,43,male
Too Much,yes,no,USA,69,female
Too Much,no,yes,USA,48,male
Too Much,yes,yes,USA,77,female
Too Much,yes,yes,USA,65,male
Too Much,yes,yes,USA,79,male
Too Much,yes,no,USA,81,female
Too Little,no,no,USA,32,female
Too Little,yes,no,USA,30,male
About Right,yes,yes,USA,50,female
Too Little,yes,no,USA,39,female
Too Little,yes,no,USA,38,female
About Right,yes,yes,USA,23,male
Too Much,yes,yes,USA,81,female
Too Little,yes,no,USA,44,male
Too Much,no,yes,USA,58,male
About Right,yes,yes,USA,41,female
About Right,yes,yes,USA,35,female
Too Little,yes,yes,USA,55,female
Too Much,yes,yes,USA,28,female
Too Much,yes,yes,USA,26,female
About Right,yes,yes,USA,40,male
Too Much,yes,no,USA,64,male
Too Little,no,no,USA,19,male
About Right,yes,yes,USA,46,female
Too Much,yes,no,USA,36,female
Too Much,no,no,USA,18,female
Too Much,no,yes,USA,28,male
Too Much,no,no,USA,40,female
Too Much,no,no,USA,35,male
Too Much,yes,no,USA,56,female
Too Much,yes,no,USA,79,male
Too Much,yes,no,USA,73,male
Too Little,no,no,USA,60,female
Too Much,yes,yes,USA,37,male
Too Much,yes,no,USA,39,female
Too Much,yes,no,USA,63,female
Too Little,yes,yes,USA,73,female
Too Little,no,yes,USA,55,male
Too Much,no,yes,USA,42,male
Too Little,yes,no,USA,49,male
Too Little,yes,no,USA,61,male
Too Little,yes,no,USA,59,female
About Right,yes,no,USA,25,female
Too Little,yes,no,USA,18,male
About Right,no,no,USA,58,female
Too Little,yes,no,USA,40,female
Too Little,yes,yes,USA,40,male
Too Little,yes,yes,USA,29,male
Too Little,yes,yes,USA,33,female
About Right,yes,no,USA,38,female
Too Much,yes,no,USA,47,female
Too Much,yes,no,USA,54,male
Too Much,yes,no,USA,36,male
Too Much,yes,no,USA,31,female
About Right,yes,no,USA,30,male
About Right,yes,no,USA,26,female
Too Much,yes,no,USA,69,male
Too Much,yes,no,USA,60,female
Too Much,yes,yes,USA,39,female
About Right,no,yes,USA,35,male
Too Much,yes,no,USA,73,male
Too Little,yes,yes,USA,38,male
Too Much,yes,no,USA,76,female
Too Much,yes,no,USA,42,female
Too Little,no,no,USA,80,male
Too Little,yes,no,USA,47,male
Too Much,yes,no,USA,36,female
Too Much,yes,no,USA,85,male
Too Little,no,no,USA,36,male
About Right,yes,no,USA,42,male
Too Much,no,no,USA,45,female
Too Little,yes,no,USA,24,female
Too Little,yes,no,USA,32,male
Too Little,yes,no,USA,33,male
Too Little,yes,no,USA,33,female
About Right,no,no,USA,73,male
About Right,yes,no,USA,30,male
Too Little,yes,no,USA,37,female
About Right,no,no,USA,39,female
About Right,yes,yes,USA,30,female
About Right,yes,yes,USA,34,male
Too Little,no,no,USA,39,male
Too Much,yes,no,USA,61,male
About Right,yes,no,USA,66,female
Too Little,no,no,USA,25,female
Too Much,yes,no,USA,28,female
Too Much,yes,no,USA,55,male
Too Much,yes,no,USA,41,male
Too Much,yes,no,USA,30,male
About Right,yes,no,USA,48,male
Too Much,yes,no,USA,73,male
Too Little,no,no,USA,44,female
Too Little,yes,yes,USA,44,female
Too Much,no,no,USA,91,male
Too Much,no,no,USA,37,male
Too Much,yes,no,USA,61,female
About Right,no,no,USA,40,male
Too Little,yes,no,USA,61,female
About Right,yes,no,USA,61,male
Too Much,yes,no,USA,39,female
About Right,yes,no,USA,47,female
About Right,yes,no,USA,41,female
About Right,yes,no,USA,32,male
About Right,yes,no,USA,26,male
About Right,yes,no,USA,49,female
Too Little,yes,no,USA,38,female
Too Little,yes,no,USA,76,female
Too Much,no,yes,USA,66,male
About Right,no,no,USA,34,male
About Right,yes,no,USA,53,female
Too Little,yes,no,USA,61,male
Too Little,yes,no,USA,47,male
Too Much,yes,no,USA,67,female
Too Much,yes,no,USA,31,female
Too Little,no,yes,USA,36,male
About Right,yes,yes,USA,23,male
About Right,yes,yes,USA,48,male
Too Much,no,yes,USA,48,male
Too Much,yes,no,USA,45,female
About Right,yes,yes,USA,72,male
Too Much,yes,no,USA,25,female
About Right,yes,no,USA,25,male
Too Much,yes,no,USA,24,male
Too Much,yes,no,USA,20,female
About Right,yes,no,USA,68,female
Too Little,yes,no,USA,23,male
Too Little,yes,no,USA,34,male
Too Little,no,no,USA,21,male
Too Little,yes,no,USA,70,female
About Right,yes,yes,USA,37,male
Too Much,yes,no,USA,26,female
About Right,yes,yes,USA,34,female
Too Much,yes,yes,USA,35,female
Too Little,no,no,USA,49,male
Too Little,yes,no,USA,53,female
Too Little,yes,no,USA,40,female
Too Much,no,no,USA,67,male
Too Little,yes,no,USA,18,female
Too Much,no,no,USA,29,male
Too Much,yes,no,USA,68,female
Too Much,yes,no,USA,20,female
Too Little,yes,no,USA,76,male
Too Little,yes,no,USA,71,female
About Right,yes,no,USA,80,female
Too Little,yes,no,USA,72,female
Too Little,yes,no,USA,38,male
Too Little,yes,yes,USA,24,female
Too Much,yes,yes,USA,44,male
Too Little,yes,yes,USA,53,male
Too Little,no,no,USA,69,female
Too Little,yes,yes,USA,79,male
Too Much,yes,no,USA,46,male
About Right,yes,no,USA,73,female
About Right,yes,no,USA,40,female
Too Much,yes,no,USA,76,male
Too Little,yes,no,USA,18,female
Too Little,yes,no,USA,47,female
Too Little,no,no,USA,46,male
About Right,no,no,USA,73,male
Too Little,no,no,USA,39,male
Too Little,yes,no,USA,51,female
Too Little,yes,no,USA,36,female
Too Much,yes,no,USA,62,male
Too Much,yes,no,USA,57,female
Too Much,yes,no,USA,31,female
Too Much,yes,no,USA,45,male
Too Much,yes,no,USA,41,male
About Right,yes,no,USA,38,male
About Right,no,no,USA,31,male
About Right,yes,yes,USA,28,female
Too Much,yes,no,USA,36,female
Too Little,yes,yes,USA,27,male
About Right,yes,no,USA,22,male
Too Much,yes,yes,USA,44,female
Too Much,yes,yes,USA,32,female
Too Much,yes,no,USA,77,male
Too Little,yes,no,USA,51,female
About Right,yes,no,USA,31,female
Too Much,no,no,USA,41,female
About Right,yes,no,USA,56,female
About Right,yes,no,USA,40,female
Too Little,yes,no,USA,30,female
Too Little,yes,no,USA,42,male
Too Little,yes,no,USA,26,male
About Right,yes,no,USA,66,female
Too Much,yes,no,USA,35,male
About Right,no,yes,USA,66,male
Too Little,yes,no,USA,45,female
Too Little,yes,no,USA,37,male
Too Little,yes,no,USA,48,male
About Right,yes,no,USA,37,male
About Right,yes,no,USA,67,female
About Right,yes,yes,USA,27,female
Too Little,yes,no,USA,18,female
About Right,yes,yes,USA,25,male
Too Little,yes,no,USA,59,female
About Right,no,no,USA,49,female
About Right,no,no,USA,67,male
Too Little,yes,yes,USA,35,male
Too Little,yes,no,USA,44,female
Too Little,yes,no,USA,18,female
Too Much,no,no,USA,77,male
About Right,yes,no,USA,65,male
About Right,yes,yes,USA,38,female
Too Little,no,yes,USA,78,female
About Right,yes,no,USA,60,male
Too Little,no,yes,USA,54,female
Too Much,yes,no,USA,50,female
About Right,yes,no,USA,43,female
Too Little,yes,yes,USA,27,male
Too Much,yes,yes,USA,33,male
Too Much,yes,no,USA,79,male
Too Much,yes,no,USA,33,female
Too Much,yes,yes,USA,70,female
Too Much,yes,no,USA,26,male
Too Little,no,yes,USA,36,female
Too Much,yes,no,USA,69,male
Too Much,yes,no,USA,78,female
Too Much,no,no,USA,77,male
Too Much,yes,no,USA,85,male
Too Much,yes,no,USA,21,female
About Right,yes,no,USA,37,male
About Right,yes,no,USA,59,female
Too Much,yes,no,USA,75,male
About Right,yes,no,USA,46,male
Too Little,yes,no,USA,39,female
About Right,yes,no,USA,74,female
Too Little,yes,no,USA,39,male
Too Little,yes,yes,USA,58,male
Too Much,yes,no,USA,40,female
About Right,yes,no,USA,26,female
Too Little,yes,no,USA,28,female
Too Little,yes,yes,USA,45,female
Too Little,yes,yes,USA,34,female
Too Much,yes,no,USA,63,female
About Right,yes,no,USA,77,male
Too Much,yes,no,USA,70,male
Too Little,yes,no,USA,24,female
Too Little,yes,no,USA,59,male
About Right,yes,yes,USA,31,female
Too Much,yes,no,USA,48,female
Too Much,yes,no,USA,57,male
Too Much,no,no,USA,49,male
Too Little,no,no,USA,55,male
Too Little,yes,no,USA,37,female
Too Much,no,no,USA,60,male
Too Much,yes,no,USA,50,male
About Right,yes,no,USA,40,female
About Right,yes,no,USA,74,female
Too Little,yes,no,USA,22,male
Too Little,no,no,USA,35,female
Too Little,yes,no,USA,52,female
Too Little,yes,no,USA,55,female
Too Little,yes,no,USA,46,male
Too Much,no,no,USA,73,male
Too Much,yes,no,USA,78,male
About Right,no,no,USA,55,male
Too Much,yes,no,USA,33,male
Too Much,yes,no,USA,58,male
Too Little,yes,no,USA,70,female
About Right,yes,no,USA,67,female
Too Little,no,no,USA,53,male
Too Little,yes,no,USA,37,male
About Right,yes,yes,USA,41,male
About Right,yes,no,USA,29,female
Too Little,yes,yes,USA,37,female
About Right,yes,no,USA,54,female
Too Little,no,no,USA,39,female
Too Much,yes,yes,USA,54,male
Too Little,yes,no,USA,22,female
Too Little,yes,no,USA,50,female
About Right,no,no,USA,56,male
Too Much,yes,yes,USA,48,male
Too Little,yes,no,USA,70,female
Too Much,yes,yes,USA,30,male
About Right,yes,yes,USA,52,male
Too Little,yes,no,USA,63,female
Too Little,no,no,USA,73,male
Too Little,no,no,USA,32,male
Too Little,yes,no,USA,35,female
Too Much,no,no,USA,32,male
Too Much,yes,yes,USA,24,female
Too Little,yes,no,USA,48,male
Too Much,no,no,USA,51,female
Too Much,no,no,USA,31,male
Too Little,yes,no,USA,23,female
Too Much,yes,no,USA,45,male
About Right,yes,no,USA,46,female
Too Little,yes,no,USA,54,male
Too Little,yes,yes,USA,41,female
Too Much,no,no,USA,66,male
Too Much,yes,no,USA,61,male
Too Much,no,no,USA,23,female
About Right,no,yes,USA,40,male
Too Little,yes,yes,USA,34,female
About Right,yes,yes,USA,33,female
Too Much,yes,yes,USA,28,male
Too Little,yes,yes,USA,32,male
Too Little,yes,no,USA,61,female
Too Much,yes,no,USA,28,female
Too Much,no,no,USA,23,male
About Right,yes,no,USA,30,female
Too Much,no,no,USA,33,male
About Right,yes,no,USA,35,male
About Right,yes,no,USA,24,female
Too Much,yes,no,USA,29,female
Too Much,yes,yes,USA,41,male
Too Much,no,no,USA,76,male
Too Much,no,no,USA,20,male
Too Much,yes,yes,USA,24,female
Too Much,yes,no,USA,88,female
Too Much,yes,no,USA,66,female
Too Much,no,yes,USA,26,male
Too Little,yes,yes,USA,29,male
Too Little,yes,yes,USA,31,female
About Right,no,yes,USA,34,male
Too Much,yes,no,USA,60,male
Too Much,yes,no,USA,54,female
About Right,yes,no,USA,20,male
Too Little,yes,no,USA,51,male
Too Little,no,no,USA,42,male
Too Much,no,yes,USA,31,male
